                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2864,                0.59758,                0.99189,                0.87399,                0.64444,                0.73196,                 0.4136,                 1.2977,                0.54072,                   1.04,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.278,                0.59416,                0.99321,                 0.8692,                0.64854,                0.73163,                0.41156,                 1.2924,                0.53951,                 1.0354,               0.008317,               0.008317,               0.008317
                     37,                 1.2796,                0.59377,                0.99152,                 0.8667,                0.65027,                0.73113,                 0.4125,                 1.2935,                0.53791,                 1.0377,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2754,                0.59133,                0.98888,                0.86916,                0.65098,                0.73505,                0.41404,                 1.2937,                0.54053,                 1.0326,               0.008218,               0.008218,               0.008218
                     39,                 1.2726,                0.58807,                0.98415,                0.86924,                0.65212,                0.73566,                0.41548,                 1.2903,                0.53248,                 1.0346,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2676,                0.58562,                0.98933,                 0.8696,                0.65038,                 0.7353,                0.41483,                 1.2939,                0.53488,                 1.0378,               0.008119,               0.008119,               0.008119
                     41,                  1.272,                0.58724,                0.98466,                0.86884,                0.65467,                0.73657,                0.41665,                 1.2894,                0.53173,                 1.0368,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2533,                0.57909,                 0.9839,                0.87055,                0.65438,                 0.7367,                0.41679,                 1.2888,                0.53111,                 1.0356,                0.00802,                0.00802,                0.00802
                     43,                 1.2622,                0.58048,                0.98279,                0.87175,                0.65297,                  0.738,                0.41809,                   1.29,                0.53028,                 1.0389,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2552,                0.57819,                0.98234,                0.87133,                0.65277,                0.73707,                0.41734,                 1.2917,                0.52942,                 1.0376,               0.007921,               0.007921,               0.007921
                     45,                 1.2516,                0.57664,                0.98118,                0.87008,                0.65338,                0.73778,                0.41711,                 1.2931,                0.52773,                 1.0377,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2496,                0.57548,                0.97929,                 0.8726,                0.65256,                0.73864,                0.41751,                 1.2912,                0.52718,                 1.0375,               0.007822,               0.007822,               0.007822
                     47,                 1.2484,                0.57469,                0.97519,                0.87149,                0.65512,                0.73973,                0.41891,                 1.2901,                0.52505,                 1.0361,              0.0077725,              0.0077725,              0.0077725
                     48,                  1.241,                0.56933,                 0.9742,                0.87137,                0.65701,                0.74173,                0.42056,                 1.2874,                0.52328,                 1.0356,               0.007723,               0.007723,               0.007723
                     49,                 1.2383,                0.56796,                0.97341,                0.87203,                0.65733,                0.74211,                0.41997,                  1.288,                0.52237,                 1.0362,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.2336,                0.56347,                0.97253,                0.87193,                0.65757,                0.74205,                0.42024,                 1.2896,                 0.5219,                 1.0341,               0.007624,               0.007624,               0.007624
                     51,                 1.2312,                0.56035,                0.97357,                0.87037,                0.65877,                0.74244,                0.41969,                 1.2916,                0.52232,                  1.037,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.2225,                0.55966,                0.97316,                0.86852,                 0.6603,                0.74422,                0.42087,                  1.291,                0.52151,                 1.0397,               0.007525,               0.007525,               0.007525
                     53,                 1.2197,                0.55855,                0.97184,                0.87333,                 0.6568,                 0.7431,                0.42112,                 1.2902,                0.52116,                 1.0394,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2193,                0.55842,                0.96963,                0.87444,                0.65776,                0.74385,                0.42177,                 1.2898,                0.52038,                 1.0384,               0.007426,               0.007426,               0.007426
                     55,                  1.212,                0.55298,                 0.9673,                0.87225,                0.65876,                0.74495,                0.42184,                 1.2906,                 0.5194,                 1.0372,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2153,                0.55318,                0.96485,                 0.8747,                0.65665,                 0.7443,                0.42139,                 1.2896,                 0.5194,                 1.0367,               0.007327,               0.007327,               0.007327
                     57,                 1.2178,                0.55336,                0.96684,                  0.872,                0.65836,                0.74517,                0.42201,                 1.2896,                0.51805,                  1.036,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2164,                0.55349,                0.96231,                0.86979,                0.66078,                0.74573,                0.42217,                 1.2893,                0.51818,                 1.0364,               0.007228,               0.007228,               0.007228
                     59,                 1.1993,                0.54687,                0.96245,                0.87011,                0.66219,                0.74629,                0.42255,                 1.2902,                0.51769,                 1.0394,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.2058,                0.55044,                0.96111,                0.86977,                0.66363,                0.74696,                0.42314,                 1.2901,                0.51703,                   1.04,               0.007129,               0.007129,               0.007129
                     61,                  1.195,                0.54315,                0.95933,                0.86825,                0.66396,                0.74696,                0.42284,                 1.2906,                0.51659,                 1.0393,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.1986,                0.54475,                0.95908,                0.86831,                0.66471,                0.74726,                0.42303,                   1.29,                0.51586,                 1.0392,                0.00703,                0.00703,                0.00703
                     63,                 1.1991,                0.54517,                0.95559,                0.86721,                 0.6663,                 0.7481,                0.42314,                  1.291,                0.51599,                 1.0387,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.1889,                0.54008,                0.95585,                0.86771,                0.66597,                0.74757,                0.42274,                 1.2916,                0.51604,                 1.0386,               0.006931,               0.006931,               0.006931
                     65,                 1.2002,                0.54638,                0.95791,                0.86937,                0.66392,                0.74708,                0.42279,                 1.2924,                0.51603,                 1.0385,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2076,                0.54859,                0.95982,                0.86941,                0.66458,                0.74739,                0.42315,                 1.2918,                0.51519,                 1.0389,               0.006832,               0.006832,               0.006832
                     67,                  1.191,                0.53936,                0.96248,                0.87203,                0.66406,                0.74795,                0.42317,                 1.2926,                0.51503,                 1.0401,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.1524,                0.51773,                0.94522,                0.87111,                0.66458,                0.74862,                0.42384,                 1.2928,                0.51499,                 1.0412,               0.006733,               0.006733,               0.006733
                     69,                 1.1668,                0.52524,                0.95489,                0.87324,                0.66333,                0.74845,                0.42369,                 1.2927,                0.51482,                 1.0426,              0.0066835,              0.0066835,              0.0066835
                     70,                  1.176,                0.53121,                0.95005,                0.87192,                0.66457,                0.74889,                0.42389,                 1.2931,                0.51434,                 1.0435,               0.006634,               0.006634,               0.006634
                     71,                 1.1685,                 0.5272,                0.94847,                0.87293,                0.66371,                0.74897,                0.42409,                 1.2936,                0.51406,                 1.0428,              0.0065845,              0.0065845,              0.0065845
                     72,                  1.172,                0.52707,                0.94746,                0.87348,                0.66345,                0.74882,                0.42424,                 1.2938,                0.51393,                 1.0429,               0.006535,               0.006535,               0.006535
                     73,                 1.1658,                0.52695,                0.94858,                0.87048,                0.66469,                0.74914,                0.42421,                  1.294,                0.51356,                 1.0433,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.1675,                0.52642,                0.94521,                0.87142,                0.66494,                0.74909,                0.42431,                 1.2942,                0.51334,                 1.0438,               0.006436,               0.006436,               0.006436
                     75,                 1.1597,                0.52262,                0.94867,                0.87207,                0.66494,                0.74922,                0.42434,                 1.2943,                0.51297,                 1.0443,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.1632,                0.52347,                0.94375,                0.87116,                0.66598,                0.74964,                0.42447,                 1.2946,                0.51273,                 1.0449,               0.006337,               0.006337,               0.006337
                     77,                 1.1492,                0.51889,                0.94425,                0.87113,                0.66634,                0.74961,                0.42414,                 1.2943,                0.51272,                 1.0449,              0.0062875,              0.0062875,              0.0062875
                     78,                  1.157,                0.52084,                0.94067,                0.87086,                0.66607,                 0.7499,                0.42446,                 1.2942,                0.51259,                 1.0451,               0.006238,               0.006238,               0.006238
                     79,                 1.1523,                0.52025,                0.94277,                0.87134,                0.66553,                0.74975,                0.42426,                 1.2943,                0.51285,                 1.0451,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.1447,                0.51653,                0.94251,                0.87096,                0.66633,                0.75001,                0.42417,                 1.2944,                0.51249,                 1.0457,               0.006139,               0.006139,               0.006139
                     81,                 1.1433,                  0.515,                0.93869,                0.86989,                0.66738,                0.75032,                0.42434,                 1.2943,                0.51247,                  1.046,              0.0060895,              0.0060895,              0.0060895
                     82,                  1.145,                0.51651,                0.93788,                0.86752,                0.66811,                0.75016,                0.42455,                 1.2939,                0.51227,                 1.0463,                0.00604,                0.00604,                0.00604
                     83,                 1.1346,                0.51077,                0.93643,                0.86871,                0.66776,                0.75054,                0.42474,                 1.2937,                 0.5121,                 1.0466,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.1369,                0.51185,                0.93663,                0.87114,                0.66637,                0.75109,                0.42494,                 1.2935,                0.51183,                 1.0469,               0.005941,               0.005941,               0.005941
                     85,                 1.1299,                 0.5078,                0.93799,                0.86978,                0.66708,                0.75109,                0.42513,                 1.2938,                0.51171,                 1.0475,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.1262,                0.50432,                0.93458,                 0.8717,                 0.6663,                 0.7514,                0.42482,                 1.2939,                 0.5115,                 1.0475,               0.005842,               0.005842,               0.005842
                     87,                 1.1181,                 0.5031,                0.93461,                0.87161,                0.66649,                0.75142,                0.42502,                 1.2937,                0.51132,                 1.0477,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.1173,                0.50309,                0.93238,                0.87194,                0.66623,                0.75151,                0.42515,                  1.294,                0.51153,                 1.0478,               0.005743,               0.005743,               0.005743
                     89,                 1.1152,                0.50341,                0.93443,                0.87049,                0.66698,                0.75162,                0.42514,                 1.2942,                0.51159,                 1.0482,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.1105,                0.49959,                0.93061,                0.87008,                 0.6668,                0.75131,                0.42513,                 1.2947,                0.51149,                 1.0486,               0.005644,               0.005644,               0.005644
                     91,                 1.1117,                0.49845,                0.92672,                0.87042,                0.66688,                 0.7512,                0.42506,                 1.2952,                0.51156,                 1.0489,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.1146,                0.50033,                0.92861,                0.87079,                0.66686,                0.75151,                0.42521,                 1.2953,                0.51142,                  1.049,               0.005545,               0.005545,               0.005545
                     93,                 1.1165,                0.50278,                0.92625,                0.87014,                0.66673,                0.75148,                0.42533,                 1.2955,                0.51145,                 1.0492,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.0994,                0.49525,                0.92482,                0.87062,                0.66627,                0.75139,                 0.4254,                 1.2958,                0.51141,                 1.0496,               0.005446,               0.005446,               0.005446
                     95,                 1.1044,                0.49633,                0.92358,                0.86908,                0.66691,                0.75106,                0.42562,                 1.2959,                0.51141,                 1.0499,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.0938,                0.49244,                0.92515,                0.86856,                0.66741,                0.75161,                0.42581,                  1.296,                0.51136,                 1.0501,               0.005347,               0.005347,               0.005347
                     97,                 1.0994,                0.49332,                0.92548,                0.87042,                0.66668,                0.75166,                0.42578,                 1.2958,                0.51111,                 1.0503,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.1033,                0.49562,                0.92526,                0.86967,                 0.6669,                 0.7517,                0.42581,                 1.2958,                0.51106,                 1.0506,               0.005248,               0.005248,               0.005248
                     99,                  1.094,                0.49087,                0.92176,                 0.8699,                0.66703,                0.75186,                0.42579,                 1.2959,                0.51093,                 1.0508,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.1023,                0.49535,                0.92249,                0.87147,                0.66562,                0.75177,                0.42585,                  1.296,                0.51113,                 1.0511,               0.005149,               0.005149,               0.005149
                    101,                 1.1115,                 0.5001,                0.92051,                0.86844,                0.66725,                0.75186,                0.42591,                 1.2963,                0.51111,                 1.0511,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.0971,                 0.4921,                0.92288,                0.87186,                0.66524,                0.75188,                0.42575,                 1.2963,                0.51104,                 1.0512,                0.00505,                0.00505,                0.00505
                    103,                 1.1064,                0.49545,                0.91899,                0.87191,                0.66552,                0.75205,                0.42585,                 1.2964,                0.51089,                 1.0512,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.1096,                0.49613,                0.92029,                0.87203,                0.66577,                0.75227,                0.42582,                 1.2964,                0.51089,                 1.0512,               0.004951,               0.004951,               0.004951
                    105,                 1.0928,                0.49026,                0.91678,                0.87294,                0.66549,                 0.7524,                0.42591,                 1.2965,                0.51092,                 1.0513,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.0928,                0.49037,                0.91965,                0.87214,                0.66619,                0.75283,                0.42587,                 1.2965,                0.51083,                 1.0515,               0.004852,               0.004852,               0.004852
                    107,                 1.0892,                0.48806,                0.91994,                0.87228,                0.66607,                0.75275,                  0.426,                 1.2965,                0.51078,                 1.0515,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.0875,                0.48752,                0.91768,                0.87295,                 0.6661,                0.75289,                  0.426,                 1.2967,                0.51087,                 1.0519,               0.004753,               0.004753,               0.004753
                    109,                 1.0768,                 0.4831,                0.91747,                0.87229,                 0.6664,                0.75296,                0.42592,                 1.2968,                0.51103,                  1.052,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.0812,                0.48631,                0.91343,                0.87269,                  0.666,                0.75291,                0.42592,                  1.297,                0.51117,                 1.0521,               0.004654,               0.004654,               0.004654
