                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3795,                0.69271,                 1.0447,                0.86352,                0.63196,                0.71232,                0.39633,                 1.3034,                0.57633,                 1.0537,                 0.0067,                 0.0067,                 0.0067
                     36,                 1.3829,                0.68821,                 1.0392,                0.86586,                0.63391,                0.71727,                0.40021,                  1.303,                 0.5734,                 1.0542,                 0.0066,                 0.0066,                 0.0066
                     37,                 1.3847,                0.69052,                 1.0382,                0.86409,                0.63475,                0.71619,                0.39986,                 1.3007,                0.57285,                 1.0499,                 0.0065,                 0.0065,                 0.0065
                     38,                 1.3729,                0.68352,                 1.0355,                0.85829,                0.63527,                0.71539,                0.39874,                 1.2983,                0.56963,                 1.0486,                 0.0064,                 0.0064,                 0.0064
                     39,                 1.3702,                0.68152,                 1.0371,                0.86776,                0.63419,                0.71766,                0.40243,                 1.2979,                0.56729,                 1.0505,                 0.0063,                 0.0063,                 0.0063
                     40,                 1.3703,                0.67806,                  1.037,                0.86079,                0.63648,                0.71807,                0.40021,                  1.296,                0.56663,                 1.0486,                 0.0062,                 0.0062,                 0.0062
                     41,                 1.3648,                0.67543,                 1.0322,                0.86218,                0.63889,                0.71933,                0.40468,                 1.2925,                0.56146,                 1.0488,                 0.0061,                 0.0061,                 0.0061
                     42,                 1.3621,                 0.6761,                 1.0376,                0.86009,                0.64038,                 0.7201,                0.40339,                 1.2944,                0.56404,                 1.0512,                  0.006,                  0.006,                  0.006
                     43,                 1.3659,                 0.6786,                 1.0354,                0.86746,                0.64285,                0.72434,                0.40641,                 1.2931,                0.55994,                 1.0494,                 0.0059,                 0.0059,                 0.0059
                     44,                 1.3609,                0.67133,                 1.0357,                0.86387,                0.64518,                 0.7245,                0.40781,                 1.2881,                0.55684,                 1.0486,                 0.0058,                 0.0058,                 0.0058
                     45,                 1.3651,                0.67964,                 1.0368,                0.86458,                0.64158,                0.72176,                0.40565,                 1.2891,                0.55706,                 1.0482,                 0.0057,                 0.0057,                 0.0057
                     46,                  1.362,                0.66909,                 1.0305,                0.86546,                0.64366,                0.72435,                0.40757,                 1.2867,                0.55354,                  1.047,                 0.0056,                 0.0056,                 0.0056
                     47,                 1.3668,                0.67196,                   1.03,                0.86416,                0.64549,                0.72589,                0.40751,                 1.2844,                0.55238,                 1.0455,                 0.0055,                 0.0055,                 0.0055
